DISK: Logging enabled to disklog.txt
DISK: block size 20 number of blocks 20
DISK: Write to block 0
DISK: Write to block 1
DISK: Write to block 2
DISK: Write to block 3
DISK: Write to block 4
DISK: Write to block 5
DISK: Write to block 6
DISK: Write to block 7
DISK: Write to block 8
DISK: Write to block 9
DISK: Write to block 10
DISK: Write to block 11
DISK: Write to block 12
DISK: Write to block 13
DISK: Write to block 14
DISK: Write to block 15
DISK: Write to block 16
DISK: Write to block 17
DISK: Write to block 18
DISK: Write to block 19
DISK: Read to block 0
DISK: Read to block 1
DISK: Read to block 2
DISK: Read to block 3
DISK: Read to block 4
DISK: Read to block 5
DISK: Read to block 6
DISK: Read to block 7
DISK: Read to block 8
DISK: Read to block 9
DISK: Read to block 10
DISK: Read to block 11
DISK: Read to block 12
DISK: Read to block 13
DISK: Read to block 14
DISK: Read to block 15
DISK: Read to block 16
DISK: Read to block 17
DISK: Read to block 18
DISK: Read to block 19
DISK: Read to block 0
DISK: Write to block 0
DISK: Read to block 1
DISK: Write to block 1
DISK: Read to block 0
DISK: Read to block 1
DISK: Read to block 0
DISK: Read to block 1
DISK: Read to block 2
DISK: Read to block 3
DISK: Read to block 4
DISK: Read to block 5
DISK: Read to block 6
DISK: Read to block 7
DISK: Read to block 8
DISK: Read to block 9
DISK: Read to block 10
DISK: Read to block 11
DISK: Read to block 12
DISK: Read to block 13
DISK: Read to block 14
DISK: Read to block 15
DISK: Read to block 16
DISK: Read to block 17
DISK: Read to block 18
DISK: Read to block 19
DISK: Read to block 1
DISK: Write to block 1
DISK: Read to block 2
DISK: Write to block 2
DISK: Read to block 1
DISK: Read to block 2
DISK: Read to block 0
DISK: Read to block 1
DISK: Read to block 2
DISK: Read to block 3
DISK: Read to block 4
DISK: Read to block 5
DISK: Read to block 6
DISK: Read to block 7
DISK: Read to block 8
DISK: Read to block 9
DISK: Read to block 10
DISK: Read to block 11
DISK: Read to block 12
DISK: Read to block 13
DISK: Read to block 14
DISK: Read to block 15
DISK: Read to block 16
DISK: Read to block 17
DISK: Read to block 18
DISK: Read to block 19
DISK: Read to block 0
DISK: Read to block 1
DISK: Read to block 2
DISK: Write to block 2
DISK: Read to block 3
DISK: Write to block 3
DISK: Read to block 0
DISK: Read to block 1
DISK: Read to block 2
DISK: Read to block 3
DISK: Read to block 0
DISK: Read to block 1
DISK: Read to block 2
DISK: Read to block 3
DISK: Read to block 4
DISK: Read to block 5
DISK: Read to block 6
DISK: Read to block 7
DISK: Read to block 8
DISK: Read to block 9
DISK: Read to block 10
DISK: Read to block 11
DISK: Read to block 12
DISK: Read to block 13
DISK: Read to block 14
DISK: Read to block 15
DISK: Read to block 16
DISK: Read to block 17
DISK: Read to block 18
DISK: Read to block 19
DISK: Read to block 0
DISK: Write to block 0
DISK: Read to block 1
DISK: Write to block 1
DISK: Read to block 2
DISK: Write to block 2
DISK: Read to block 3
DISK: Write to block 3
DISK: Read to block 0
DISK: Read to block 1
DISK: Read to block 2
DISK: Read to block 3
DISK: Read to block 4
DISK: Read to block 5
DISK: Read to block 6
DISK: Read to block 7
DISK: Read to block 8
DISK: Read to block 9
DISK: Read to block 10
DISK: Read to block 11
DISK: Read to block 12
DISK: Read to block 13
DISK: Read to block 14
DISK: Read to block 15
DISK: Read to block 16
DISK: Read to block 17
DISK: Read to block 18
DISK: Read to block 19
DISK: Terminating.
DISK: Blocks created were 20 of total 20 which is 100 %
